Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138213101,NARENDRAPUR KRISHNA_10.123.138.213,1.1,E1,-,Unbound,-,-,View,Add
1138213102,NARENDRAPUR KRISHNA_10.123.138.213,1.2,E1,-,Unbound,-,-,View,Add
1138213201,NARENDRAPUR KRISHNA_10.123.138.213,2.1,E1,-,Unbound,-,-,View,Add
1138213202,NARENDRAPUR KRISHNA_10.123.138.213,2.2,E1,-,Unbound,-,-,View,Add
1138213103,NARENDRAPUR KRISHNA_10.123.138.213,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138213104,NARENDRAPUR KRISHNA_10.123.138.213,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138213203,NARENDRAPUR KRISHNA_10.123.138.213,2.3,FE/GE(E),NARENDRAPUR,BTS 2G,-,2025-11-19,View,Add
1138213203,NARENDRAPUR KRISHNA_10.123.138.213,2.3,FE/GE(E),NARENDRAPUR,BTS 3G,-,2025-11-19,View,Add
1138213204,NARENDRAPUR KRISHNA_10.123.138.213,2.4,FE/GE(E),NARENDRAPUR,BTS 4G,-,2025-11-19,View,Add
1138213105,NARENDRAPUR KRISHNA_10.123.138.213,1.5,GE(O),CTD_HNV_NARENDRAPUR KRISHNA_10.123.138.213/1.5-CTD_HNV_SHALIMAR CHEMICAL_10.123.138.214/2.5,CPAN DL,-,2025-11-19,View,Add
1138213106,NARENDRAPUR KRISHNA_10.123.138.213,1.6,GE(O),-,Unbound,-,-,View,Add
1138213205,NARENDRAPUR KRISHNA_10.123.138.213,2.5,GE(O),CTD_HNV_KAMALGAJI_10.123.29.196/5.4-CTD_HNV_NARENDRAPUR KRISHNA_10.123.138.213/2.5,CPAN DL,-,2025-11-19,View,Add
1138213206,NARENDRAPUR KRISHNA_10.123.138.213,2.6,GE(O),-,Unbound,-,-,View,Add
