Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138237101,NATUN PALLY BTS A1_10.123.138.237,1.1,E1,-,Unbound,-,-,View,Add
1138237102,NATUN PALLY BTS A1_10.123.138.237,1.2,E1,-,Unbound,-,-,View,Add
1138237201,NATUN PALLY BTS A1_10.123.138.237,2.1,E1,-,Unbound,-,-,View,Add
1138237202,NATUN PALLY BTS A1_10.123.138.237,2.2,E1,-,Unbound,-,-,View,Add
1138237103,NATUN PALLY BTS A1_10.123.138.237,1.3,FE/GE(E),NATUN PALLY$2,BTS 3G,-,2025-11-19,View,Add
1138237104,NATUN PALLY BTS A1_10.123.138.237,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138237203,NATUN PALLY BTS A1_10.123.138.237,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138237204,NATUN PALLY BTS A1_10.123.138.237,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138237105,NATUN PALLY BTS A1_10.123.138.237,1.5,GE(O),CTD_HNV_SONARPUR_10.123.138.199/3.2-CTD_HNV_NATUN PALLY BTS A1_10.123.138.237/1.5,CPAN DL,-,2025-11-19,View,Add
1138237106,NATUN PALLY BTS A1_10.123.138.237,1.6,GE(O),-,Unbound,-,-,View,Add
1138237205,NATUN PALLY BTS A1_10.123.138.237,2.5,GE(O),-,Unbound,-,-,View,Add
1138237206,NATUN PALLY BTS A1_10.123.138.237,2.6,GE(O),-,Unbound,-,-,View,Add
