Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138247101,PIYALI TOWN II BTS (A1)_10.123.138.247,1.1,E1,-,Unbound,-,-,View,Add
1138247102,PIYALI TOWN II BTS (A1)_10.123.138.247,1.2,E1,-,Unbound,-,-,View,Add
1138247201,PIYALI TOWN II BTS (A1)_10.123.138.247,2.1,E1,-,Unbound,-,-,View,Add
1138247202,PIYALI TOWN II BTS (A1)_10.123.138.247,2.2,E1,-,Unbound,-,-,View,Add
1138247103,PIYALI TOWN II BTS (A1)_10.123.138.247,1.3,FE/GE(E),PIYALI TOWN II,BTS 2G,-,2025-11-19,View,Add
1138247103,PIYALI TOWN II BTS (A1)_10.123.138.247,1.3,FE/GE(E),PIYALI TOWN II,BTS 3G,-,2025-11-19,View,Add
1138247104,PIYALI TOWN II BTS (A1)_10.123.138.247,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138247203,PIYALI TOWN II BTS (A1)_10.123.138.247,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138247204,PIYALI TOWN II BTS (A1)_10.123.138.247,2.4,FE/GE(E),PIYALI TOWN-2,BTS 4G,-,2025-11-19,View,Add
1138247105,PIYALI TOWN II BTS (A1)_10.123.138.247,1.5,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.3-CTD_HNV_PIYALI TOWN II BTS (A1)_10.123.138.247/1.5,CPAN DL,-,2025-11-19,View,Add
1138247106,PIYALI TOWN II BTS (A1)_10.123.138.247,1.6,GE(O),Baruipur Phultala,BTS 2G,-,2025-11-19,View,Add
1138247106,PIYALI TOWN II BTS (A1)_10.123.138.247,1.6,GE(O),Baruipur Phultala,BTS 3G,-,2025-11-19,View,Add
1138247106,PIYALI TOWN II BTS (A1)_10.123.138.247,1.6,GE(O),Baruipur Phultala,BTS 4G,-,2025-11-19,View,Add
1138247205,PIYALI TOWN II BTS (A1)_10.123.138.247,2.5,GE(O),CTD_HNV_PIYALI TOWN II BTS (A1)_10.123.138.247/2.5-CTD_HNV_SITAKUNDU_10.123.138.197/4.2,CPAN DL,-,2025-11-19,View,Add
1138247206,PIYALI TOWN II BTS (A1)_10.123.138.247,2.6,GE(O),-,Unbound,-,-,View,Add
