Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1029209101,PRAN BORAL BTS_10.123.29.209,1.1,E1,-,Unbound,-,-,View,Add
1029209102,PRAN BORAL BTS_10.123.29.209,1.2,E1,-,Unbound,-,-,View,Add
1029209201,PRAN BORAL BTS_10.123.29.209,2.1,E1,-,Unbound,-,-,View,Add
1029209202,PRAN BORAL BTS_10.123.29.209,2.2,E1,-,Unbound,-,-,View,Add
1029209103,PRAN BORAL BTS_10.123.29.209,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1029209104,PRAN BORAL BTS_10.123.29.209,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1029209203,PRAN BORAL BTS_10.123.29.209,2.3,FE/GE(E),PRANA BORAL,BTS 4G,-,2025-11-19,View,Add
1029209204,PRAN BORAL BTS_10.123.29.209,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1029209105,PRAN BORAL BTS_10.123.29.209,1.5,GE(O),CTD_HNV_BORAL ROU A1_10.123.29.225/2.6-CTD_HNV_PRAN BORAL BTS_10.123.29.209/1.5,CPAN DL,-,2025-11-19,View,Add
1029209106,PRAN BORAL BTS_10.123.29.209,1.6,GE(O),-,Unbound,-,-,View,Add
1029209205,PRAN BORAL BTS_10.123.29.209,2.5,GE(O),-,Unbound,-,-,View,Add
1029209206,PRAN BORAL BTS_10.123.29.209,2.6,GE(O),-,Unbound,-,-,View,Add
