Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138215101,RAJPUR SARKARPARA_10.123.138.215,1.1,E1,-,Unbound,-,-,View,Add
1138215102,RAJPUR SARKARPARA_10.123.138.215,1.2,E1,-,Unbound,-,-,View,Add
1138215201,RAJPUR SARKARPARA_10.123.138.215,2.1,E1,-,Unbound,-,-,View,Add
1138215202,RAJPUR SARKARPARA_10.123.138.215,2.2,E1,-,Unbound,-,-,View,Add
1138215103,RAJPUR SARKARPARA_10.123.138.215,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1138215104,RAJPUR SARKARPARA_10.123.138.215,1.4,FE/GE(E),RAJPUR SARKAR PARA,BTS 4G,-,2025-11-19,View,Add
1138215203,RAJPUR SARKARPARA_10.123.138.215,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138215204,RAJPUR SARKARPARA_10.123.138.215,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138215105,RAJPUR SARKARPARA_10.123.138.215,1.5,GE(O),CTD_HNV_RAJPUR SARKARPARA_10.123.138.215/1.5-CTD_HNV_BARENDRA PARA BTS_10.123.138.249/2.5,CPAN DL,-,2025-11-19,View,Add
1138215106,RAJPUR SARKARPARA_10.123.138.215,1.6,GE(O),-,Unbound,-,-,View,Add
1138215205,RAJPUR SARKARPARA_10.123.138.215,2.5,GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/3.6-CTD_HNV_RAJPUR SARKARPARA_10.123.138.215/2.5,CPAN DL,-,2025-11-19,View,Add
1138215206,RAJPUR SARKARPARA_10.123.138.215,2.6,GE(O),-,Unbound,-,-,View,Add
