Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1029234101,RAMCHANDRAPUR_10.123.29.234,1.1,E1,-,Unbound,-,-,View,Add
1029234102,RAMCHANDRAPUR_10.123.29.234,1.2,E1,-,Unbound,-,-,View,Add
1029234201,RAMCHANDRAPUR_10.123.29.234,2.1,E1,-,Unbound,-,-,View,Add
1029234202,RAMCHANDRAPUR_10.123.29.234,2.2,E1,-,Unbound,-,-,View,Add
1029234103,RAMCHANDRAPUR_10.123.29.234,1.3,FE/GE(E),RAMCHANDRAPUR,BTS 2G,-,2025-11-19,View,Add
1029234103,RAMCHANDRAPUR_10.123.29.234,1.3,FE/GE(E),RAMCHANDRAPUR,BTS 3G,-,2025-11-19,View,Add
1029234104,RAMCHANDRAPUR_10.123.29.234,1.4,FE/GE(E),RAMCHANDRAPUR,BTS 4G,-,2025-11-19,View,Add
1029234203,RAMCHANDRAPUR_10.123.29.234,2.3,FE/GE(E),GARIA MAIN ROAD,BTS 2G,-,2025-11-19,View,Add
1029234203,RAMCHANDRAPUR_10.123.29.234,2.3,FE/GE(E),GARIA MAIN ROAD,BTS 3G,-,2025-11-19,View,Add
1029234203,RAMCHANDRAPUR_10.123.29.234,2.3,FE/GE(E),GARIA MAIN ROAD,BTS 4G,-,2025-11-19,View,Add
1029234204,RAMCHANDRAPUR_10.123.29.234,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1029234105,RAMCHANDRAPUR_10.123.29.234,1.5,GE(O),CTD_HNV_RAMCHANDRAPUR_10.123.29.234/1.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/2.6,CPAN DL,-,2025-11-19,View,Add
1029234106,RAMCHANDRAPUR_10.123.29.234,1.6,GE(O),Dakshin Bonhooghly,BTS 2G,-,2025-11-19,View,Add
1029234106,RAMCHANDRAPUR_10.123.29.234,1.6,GE(O),Dakshin Bonhooghly,BTS 3G,-,2025-11-19,View,Add
1029234106,RAMCHANDRAPUR_10.123.29.234,1.6,GE(O),DAKSHINESWAR,BTS 4G,-,2025-11-19,View,Add
1029234106,RAMCHANDRAPUR_10.123.29.234,1.6,GE(O),Dakshin Bonhooghly,BTS 4G,-,2025-11-19,View,Add
1029234205,RAMCHANDRAPUR_10.123.29.234,2.5,GE(O),-,Unbound,-,-,View,Add
1029234206,RAMCHANDRAPUR_10.123.29.234,2.6,GE(O),CTD_HNV_RAMCHANDRAPUR_10.123.29.234/2.6-CTD_HNV_KAMALGAJI_10.123.29.196/3.6,CPAN DL,-,2025-11-19,View,Add
