Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138210101,SARMASTAPUR_10.123.138.210,1.1,E1,-,Unbound,-,-,View,Add
1138210102,SARMASTAPUR_10.123.138.210,1.2,E1,-,Unbound,-,-,View,Add
1138210201,SARMASTAPUR_10.123.138.210,2.1,E1,-,Unbound,-,-,View,Add
1138210202,SARMASTAPUR_10.123.138.210,2.2,E1,-,Unbound,-,-,View,Add
1138210103,SARMASTAPUR_10.123.138.210,1.3,FE/GE(E),SARMASTAPUR,BTS 2G,-,2025-11-19,View,Add
1138210103,SARMASTAPUR_10.123.138.210,1.3,FE/GE(E),SARMASTAPUR,BTS 3G,-,2025-11-19,View,Add
1138210104,SARMASTAPUR_10.123.138.210,1.4,FE/GE(E),SARMASTAPUR,BTS 4G,-,2025-11-19,View,Add
1138210203,SARMASTAPUR_10.123.138.210,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138210204,SARMASTAPUR_10.123.138.210,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138210105,SARMASTAPUR_10.123.138.210,1.5,GE(O),CTD_HNV_DAKSHIN CHOWHATI_10.123.138.209/2.5-CTD_HNV_SARMASTAPUR_10.123.138.210/1.5,CPAN DL,-,2025-11-19,View,Add
1138210106,SARMASTAPUR_10.123.138.210,1.6,GE(O),-,Unbound,-,-,View,Add
1138210205,SARMASTAPUR_10.123.138.210,2.5,GE(O),-,Unbound,-,-,View,Add
1138210206,SARMASTAPUR_10.123.138.210,2.6,GE(O),CTD_HNV_CHOWHATI POLEHAT BTS_10.123.138.250/2.6-CTD_HNV_SARMASTAPUR_10.123.138.210/2.6,CPAN DL,-,2025-11-19,View,Add
