Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138214101,SHALIMAR CHEMICAL_10.123.138.214,1.1,E1,-,Unbound,-,-,View,Add
1138214102,SHALIMAR CHEMICAL_10.123.138.214,1.2,E1,-,Unbound,-,-,View,Add
1138214201,SHALIMAR CHEMICAL_10.123.138.214,2.1,E1,-,Unbound,-,-,View,Add
1138214202,SHALIMAR CHEMICAL_10.123.138.214,2.2,E1,-,Unbound,-,-,View,Add
1138214103,SHALIMAR CHEMICAL_10.123.138.214,1.3,FE/GE(E),SHALIMAR CHEMICAL,BTS 2G,-,2025-11-19,View,Add
1138214103,SHALIMAR CHEMICAL_10.123.138.214,1.3,FE/GE(E),SHALIMAR CHEMICAL,BTS 2G,-,2025-11-19,View,Add
1138214104,SHALIMAR CHEMICAL_10.123.138.214,1.4,FE/GE(E),Narendrapur Rathtala,BTS 2G,-,2025-11-19,View,Add
1138214104,SHALIMAR CHEMICAL_10.123.138.214,1.4,FE/GE(E),Narendrapur Rathtala,BTS 3G,-,2025-11-19,View,Add
1138214104,SHALIMAR CHEMICAL_10.123.138.214,1.4,FE/GE(E),Narendrapur BSC,BTS 4G,-,2025-11-19,View,Add
1138214203,SHALIMAR CHEMICAL_10.123.138.214,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138214204,SHALIMAR CHEMICAL_10.123.138.214,2.4,FE/GE(E),SHALIMAR CHEMICAL,BTS 4G,-,2025-11-19,View,Add
1138214105,SHALIMAR CHEMICAL_10.123.138.214,1.5,GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/4.3-CTD_HNV_SHALIMAR CHEMICAL_10.123.138.214/1.5,CPAN DL,-,2025-11-19,View,Add
1138214106,SHALIMAR CHEMICAL_10.123.138.214,1.6,GE(O),-,Unbound,-,-,View,Add
1138214205,SHALIMAR CHEMICAL_10.123.138.214,2.5,GE(O),CTD_HNV_NARENDRAPUR KRISHNA_10.123.138.213/1.5-CTD_HNV_SHALIMAR CHEMICAL_10.123.138.214/2.5,CPAN DL,-,2025-11-19,View,Add
1138214206,SHALIMAR CHEMICAL_10.123.138.214,2.6,GE(O),-,Unbound,-,-,View,Add
