Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138254101,SHERWOOD RLU NODE 2_10.123.138.254,1.1,E1,-,Unbound,-,-,View,Add
1138254102,SHERWOOD RLU NODE 2_10.123.138.254,1.2,E1,-,Unbound,-,-,View,Add
1138254201,SHERWOOD RLU NODE 2_10.123.138.254,2.1,E1,-,Unbound,-,-,View,Add
1138254202,SHERWOOD RLU NODE 2_10.123.138.254,2.2,E1,-,Unbound,-,-,View,Add
1138254103,SHERWOOD RLU NODE 2_10.123.138.254,1.3,FE/GE(E),CTD_HNV_SHERWOOD RLU NODE 2_10.123.138.254/1.3-CTD_HNV_SHERWOOD ROU_10.123.138.231/1.3,CPAN DL,-,2025-11-19,View,Add
1138254104,SHERWOOD RLU NODE 2_10.123.138.254,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138254203,SHERWOOD RLU NODE 2_10.123.138.254,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138254204,SHERWOOD RLU NODE 2_10.123.138.254,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138254105,SHERWOOD RLU NODE 2_10.123.138.254,1.5,GE(O),CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/1.5-CTD_HNV_SHERWOOD RLU NODE 2_10.123.138.254/1.5,CPAN DL,-,2025-11-19,View,Add
1138254106,SHERWOOD RLU NODE 2_10.123.138.254,1.6,GE(O),-,Unbound,-,-,View,Add
1138254205,SHERWOOD RLU NODE 2_10.123.138.254,2.5,GE(O),-,Unbound,-,-,View,Add
1138254206,SHERWOOD RLU NODE 2_10.123.138.254,2.6,GE(O),-,Unbound,-,-,View,Add
