Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138231101,SHERWOOD ROU_10.123.138.231,1.1,E1,-,Unbound,-,-,View,Add
1138231102,SHERWOOD ROU_10.123.138.231,1.2,E1,-,Unbound,-,-,View,Add
1138231201,SHERWOOD ROU_10.123.138.231,2.1,E1,-,Unbound,-,-,View,Add
1138231202,SHERWOOD ROU_10.123.138.231,2.2,E1,-,Unbound,-,-,View,Add
1138231103,SHERWOOD ROU_10.123.138.231,1.3,FE/GE(E),CTD_HNV_SHERWOOD RLU NODE 2_10.123.138.254/1.3-CTD_HNV_SHERWOOD ROU_10.123.138.231/1.3,CPAN DL,-,2025-11-19,View,Add
1138231104,SHERWOOD ROU_10.123.138.231,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138231203,SHERWOOD ROU_10.123.138.231,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138231204,SHERWOOD ROU_10.123.138.231,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138231105,SHERWOOD ROU_10.123.138.231,1.5,GE(O),CTD_HNV_HR K MISSION ROU_10.123.138.230/2.5-CTD_HNV_SHERWOOD ROU_10.123.138.231/1.5,CPAN DL,-,2025-11-19,View,Add
1138231106,SHERWOOD ROU_10.123.138.231,1.6,GE(O),-,Unbound,-,-,View,Add
1138231205,SHERWOOD ROU_10.123.138.231,2.5,GE(O),CTD_HNV_SHERWOOD ROU_10.123.138.231/2.5-CTD_HNV_KAMALGAJI_10.123.29.196/4.4,CPAN DL,-,2025-11-19,View,Add
1138231206,SHERWOOD ROU_10.123.138.231,2.6,GE(O),-,Unbound,-,-,View,Add
