Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138218101,SONARPORE GHASIARA_10.123.138.218,1.1,E1,-,Unbound,-,-,View,Add
1138218102,SONARPORE GHASIARA_10.123.138.218,1.2,E1,-,Unbound,-,-,View,Add
1138218201,SONARPORE GHASIARA_10.123.138.218,2.1,E1,-,Unbound,-,-,View,Add
1138218202,SONARPORE GHASIARA_10.123.138.218,2.2,E1,-,Unbound,-,-,View,Add
1138218103,SONARPORE GHASIARA_10.123.138.218,1.3,FE/GE(E),SONARPUR GHASIARA,BTS 2G,-,2025-11-19,View,Add
1138218103,SONARPORE GHASIARA_10.123.138.218,1.3,FE/GE(E),SONARPUR GHASIARA,BTS 3G,-,2025-11-19,View,Add
1138218104,SONARPORE GHASIARA_10.123.138.218,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138218203,SONARPORE GHASIARA_10.123.138.218,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138218204,SONARPORE GHASIARA_10.123.138.218,2.4,FE/GE(E),SONARPUR GHASIARA,BTS 4G,-,2025-11-19,View,Add
1138218105,SONARPORE GHASIARA_10.123.138.218,1.5,GE(O),-,Unbound,-,-,View,Add
1138218106,SONARPORE GHASIARA_10.123.138.218,1.6,GE(O),-,Unbound,-,-,View,Add
1138218205,SONARPORE GHASIARA_10.123.138.218,2.5,GE(O),CTD_HNV_SONARPORE GHASIARA_10.123.138.218/2.5-CTD_HNV_AP NAGAR_10.123.138.198/3.2,CPAN DL,-,2025-11-19,View,Add
1138218206,SONARPORE GHASIARA_10.123.138.218,2.6,GE(O),-,Unbound,-,-,View,Add
