Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138221101,SONARPUR EX_10.123.138.221,1.1,E1,-,Unbound,-,-,View,Add
1138221102,SONARPUR EX_10.123.138.221,1.2,E1,-,Unbound,-,-,View,Add
1138221201,SONARPUR EX_10.123.138.221,2.1,E1,-,Unbound,-,-,View,Add
1138221202,SONARPUR EX_10.123.138.221,2.2,E1,-,Unbound,-,-,View,Add
1138221103,SONARPUR EX_10.123.138.221,1.3,FE/GE(E),CTD_HNV_SONARPUR_10.123.138.199/3.7-CTD_HNV_SONARPUR EX_10.123.138.221/1.3,CPAN DL,-,2025-11-19,View,Add
1138221104,SONARPUR EX_10.123.138.221,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138221203,SONARPUR EX_10.123.138.221,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138221204,SONARPUR EX_10.123.138.221,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138221105,SONARPUR EX_10.123.138.221,1.5,GE(O),Mission Pally,BTS 2G,-,2025-11-19,View,Add
1138221105,SONARPUR EX_10.123.138.221,1.5,GE(O),Mission Pally,BTS 3G,-,2025-11-19,View,Add
1138221106,SONARPUR EX_10.123.138.221,1.6,GE(O),-,Unbound,-,-,View,Add
1138221205,SONARPUR EX_10.123.138.221,2.5,GE(O),CTD_HNV_SONARPUR EX_10.123.138.221/2.5-CTD_HNV_AP NAGAR_10.123.138.222/2.5,CPAN DL,-,2025-11-19,View,Add
1138221206,SONARPUR EX_10.123.138.221,2.6,GE(O),SONARPUR,BTS 2G,-,2025-11-19,View,Add
1138221206,SONARPUR EX_10.123.138.221,2.6,GE(O),SONARPUR,BTS 3G,-,2025-11-19,View,Add
1138221206,SONARPUR EX_10.123.138.221,2.6,GE(O),SONARPUR,BTS 4G,-,2025-11-19,View,Add
