Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138227101,SONARPUR-ROU-A1_10.123.138.227,1.1,E1,-,Unbound,-,-,View,Add
1138227102,SONARPUR-ROU-A1_10.123.138.227,1.2,E1,-,Unbound,-,-,View,Add
1138227201,SONARPUR-ROU-A1_10.123.138.227,2.1,E1,-,Unbound,-,-,View,Add
1138227202,SONARPUR-ROU-A1_10.123.138.227,2.2,E1,-,Unbound,-,-,View,Add
1138227103,SONARPUR-ROU-A1_10.123.138.227,1.3,FE/GE(E),CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.3-CTD_HNV_SONARPUR_10.123.138.199/3.8,CPAN DL,-,2025-11-19,View,Add
1138227104,SONARPUR-ROU-A1_10.123.138.227,1.4,FE/GE(E),1000560320_PNB-KHEADAH_138.227/1.4_138.1/6.7_4009,LEASED CKT,1000560320,2025-11-19,View,Add
1138227203,SONARPUR-ROU-A1_10.123.138.227,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138227204,SONARPUR-ROU-A1_10.123.138.227,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138227105,SONARPUR-ROU-A1_10.123.138.227,1.5,GE(O),CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.5-CTD_HNV_FIEM-ROU-A1_10.123.138.228/2.5,CPAN DL,-,2025-11-19,View,Add
1138227106,SONARPUR-ROU-A1_10.123.138.227,1.6,GE(O),CTD_HNV_BARENDRA PARA BTS_10.123.138.249/1.5-CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.6,CPAN DL,-,2025-11-19,View,Add
1138227205,SONARPUR-ROU-A1_10.123.138.227,2.5,GE(O),SONARPUR-II,BTS 2G,-,2025-11-19,View,Add
1138227205,SONARPUR-ROU-A1_10.123.138.227,2.5,GE(O),SONARPUR-II,BTS 3G,-,2025-11-19,View,Add
1138227206,SONARPUR-ROU-A1_10.123.138.227,2.6,GE(O),CTD_HNV_GANGAJOARA BTS_10.123.138.248/1.5-CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/2.6,CPAN DL,-,2025-11-19,View,Add
