Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1136034101,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,1.1,E1,-,Unbound,-,-,View,Add
1136034102,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,1.2,E1,-,Unbound,-,-,View,Add
1136034201,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,2.1,E1,-,Unbound,-,-,View,Add
1136034202,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,2.2,E1,-,Unbound,-,-,View,Add
1136034103,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,1.3,FE/GE(E),1000480822-SPICE-BOARD_29.245/1.3_KGT-138.65/3.8_3870,LEASED CKT,1000480822,2025-11-19,View,Add
1136034104,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1136034203,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1136034204,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1136034105,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,1.5,GE(O),CTD_HNV_SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34/1.5-CTD_HNV_DRDO BARUIPUR_10.123.136.35/2.6,CPAN DL,-,2025-11-19,View,Add
1136034106,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,1.6,GE(O),-,Unbound,-,-,View,Add
1136034205,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,2.5,GE(O),CTD_HNV_SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34/2.5-CTD_BHL_BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22/1.5,CPAN DL,-,2025-11-19,View,Add
1136034206,SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34,2.6,GE(O),-,Unbound,-,-,View,Add
