Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138219101,SUBHASGRAM BANKPLOT BTS_10.123.138.219,1.1,E1,-,Unbound,-,-,View,Add
1138219102,SUBHASGRAM BANKPLOT BTS_10.123.138.219,1.2,E1,-,Unbound,-,-,View,Add
1138219201,SUBHASGRAM BANKPLOT BTS_10.123.138.219,2.1,E1,-,Unbound,-,-,View,Add
1138219202,SUBHASGRAM BANKPLOT BTS_10.123.138.219,2.2,E1,-,Unbound,-,-,View,Add
1138219103,SUBHASGRAM BANKPLOT BTS_10.123.138.219,1.3,FE/GE(E),SUBHAS GRAM BANK PLOT,BTS 2G,-,2025-11-19,View,Add
1138219103,SUBHASGRAM BANKPLOT BTS_10.123.138.219,1.3,FE/GE(E),SUBHAS GRAM BANK PLOT,BTS 3G,-,2025-11-19,View,Add
1138219104,SUBHASGRAM BANKPLOT BTS_10.123.138.219,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1138219203,SUBHASGRAM BANKPLOT BTS_10.123.138.219,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1138219204,SUBHASGRAM BANKPLOT BTS_10.123.138.219,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1138219105,SUBHASGRAM BANKPLOT BTS_10.123.138.219,1.5,GE(O),CTD_HNV_HNV TX A1_10.123.138.217/2.5-CTD_HNV_SUBHASGRAM BANKPLOT BTS_10.123.138.219/1.5,CPAN DL,-,2025-11-19,View,Add
1138219106,SUBHASGRAM BANKPLOT BTS_10.123.138.219,1.6,GE(O),-,Unbound,-,-,View,Add
1138219205,SUBHASGRAM BANKPLOT BTS_10.123.138.219,2.5,GE(O),-,Unbound,-,-,View,Add
1138219206,SUBHASGRAM BANKPLOT BTS_10.123.138.219,2.6,GE(O),-,Unbound,-,-,View,Add
