Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1029224101,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,1.1,E1,-,Unbound,-,-,View,Add
1029224102,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,1.2,E1,-,Unbound,-,-,View,Add
1029224201,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,2.1,E1,-,Unbound,-,-,View,Add
1029224202,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,2.2,E1,-,Unbound,-,-,View,Add
1029224103,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,1.3,FE/GE(E),-,Unbound,-,-,View,Add
1029224104,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,1.4,FE/GE(E),-,Unbound,-,-,View,Add
1029224203,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,2.3,FE/GE(E),-,Unbound,-,-,View,Add
1029224204,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,2.4,FE/GE(E),-,Unbound,-,-,View,Add
1029224105,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,1.5,GE(O),CTD_HNV_SUNNY SEASON ROU A1 NODE 2_10.123.29.224/1.5-CTD_HNV_KAMALGAJI_10.123.29.196/4.5,CPAN DL,-,2025-11-19,View,Add
1029224106,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,1.6,GE(O),-,Unbound,-,-,View,Add
1029224205,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,2.5,GE(O),CTD_HNV_SUNNY SEASON ROU A1 NODE 2_10.123.29.224/2.5-CTD_HNV_BORAL ROU A1_10.123.29.225/1.5,CPAN DL,-,2025-11-19,View,Add
1029224206,SUNNY SEASON ROU A1 NODE 2_10.123.29.224,2.6,GE(O),-,Unbound,-,-,View,Add
