Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138196301,BARUIPUR_10.123.138.196,3.1,10 GE(O),CTD_HNV_GOBINDAPUR_10.123.138.195/5.1-CTD_HNV_BARUIPUR_10.123.138.196/3.1,CPAN DL,-,2025-11-22,View,Add
1138196401,BARUIPUR_10.123.138.196,4.1,10 GE(O),CTD_HNV_SITAKUNDU_10.123.138.197/3.1-CTD_HNV_BARUIPUR_10.123.138.196/4.1,CPAN DL,-,2025-11-22,View,Add
1138196310,BARUIPUR_10.123.138.196,3.10,1GE(E),CTD_HNV_BARUIPUR NODE 4_10.123.138.241/1.4-CTD_HNV_BARUIPUR_10.123.138.196/3.10,CPAN DL,-,2025-11-21,View,Add
1138196311,BARUIPUR_10.123.138.196,3.11,1GE(E),-,Unbound,-,-,View,Add
1138196312,BARUIPUR_10.123.138.196,3.12,1GE(E),-,Unbound,-,-,View,Add
1138196307,BARUIPUR_10.123.138.196,3.7,1GE(E),CTD_HNV_BARUIPUR EXNG A1_10.123.138.220/1.3-CTD_HNV_BARUIPUR_10.123.138.196/3.7,CPAN DL,-,2025-11-21,View,Add
1138196308,BARUIPUR_10.123.138.196,3.8,1GE(E),BARUIPUR DUTTAPARA,BTS 4G,-,2025-11-21,View,Add
1138196309,BARUIPUR_10.123.138.196,3.9,1GE(E),BARUIPUR_10.123.138.196/3.9==Baruipur -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link,-,2025-11-21,View,Add
1138196410,BARUIPUR_10.123.138.196,4.10,1GE(E),BARUIPUR_10.123.138.196/4.10==Baruipur -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link,-,2025-11-21,View,Add
1138196411,BARUIPUR_10.123.138.196,4.11,1GE(E),BARUIPUR_10.123.138.196/4.11==Baruipur -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link,-,2025-11-21,View,Add
1138196412,BARUIPUR_10.123.138.196,4.12,1GE(E),-,Unbound,-,-,View,Add
1138196407,BARUIPUR_10.123.138.196,4.7,1GE(E),-,Unbound,-,-,View,Add
1138196408,BARUIPUR_10.123.138.196,4.8,1GE(E),-,Unbound,-,-,View,Add
