Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),-,Unbound
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_HR K MISSION ROU_10.123.138.230/1.5-CTD_HNV_HARINAVI EXCH_10.123.138.229/2.5,CPAN DL
1.6,GE(O),Narendrapur ( Narendrapur Mission Gate),BTS 2G
1.6,GE(O),Narendrapur,BTS 4G
2.5,GE(O),CTD_HNV_HR K MISSION ROU_10.123.138.230/2.5-CTD_HNV_SHERWOOD ROU_10.123.138.231/1.5,CPAN DL
2.6,GE(O),-,Unbound
