Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),-,Unbound
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),JAGATDAL-2,BTS 4G
1.5,GE(O),CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/2.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/1.5,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),CTD_HNV_CHOWHATI POLEHAT BTS_10.123.138.250/1.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/2.5,CPAN DL
2.6,GE(O),CTD_HNV_RAMCHANDRAPUR_10.123.29.234/1.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/2.6,CPAN DL
