Chl Code,Channel,Port Type,Port Capacity,Service,Service Type,Verification,Updated On,Actions
1029196101,1.1,STM1,155 Mbps,-,-,-,-,Add
1029196102,1.2,STM1,155 Mbps,-,-,-,-,Add
1029196103,1.3,STM1,155 Mbps,-,-,-,-,Add
1029196104,1.4,STM1,155 Mbps,-,-,-,-,Add
1029196105,1.5,E1,2 Mbps,-,-,-,-,Add
1029196106,1.6,E1,2 Mbps,-,-,-,-,Add
1029196107,1.7,E1,2 Mbps,-,-,-,-,Add
1029196108,1.8,E1,2 Mbps,-,-,-,-,Add
1029196109,1.9,E1,2 Mbps,-,-,-,-,Add
1029196110,1.10,E1,2 Mbps,-,-,-,-,Add
1029196111,1.11,E1,2 Mbps,-,-,-,-,Add
1029196112,1.12,E1,2 Mbps,-,-,-,-,Add
1029196113,1.13,E1,2 Mbps,-,-,-,-,Add
1029196114,1.14,E1,2 Mbps,-,-,-,-,Add
1029196115,1.15,E1,2 Mbps,-,-,-,-,Add
1029196116,1.16,E1,2 Mbps,-,-,-,-,Add
1029196117,1.17,E1,2 Mbps,-,-,-,-,Add
1029196118,1.18,E1,2 Mbps,-,-,-,-,Add
1029196119,1.19,E1,2 Mbps,-,-,-,-,Add
1029196120,1.2,E1,2 Mbps,-,-,-,-,Add
1029196201,2.1,STM1,155 Mbps,-,-,-,-,Add
1029196202,2.2,STM1,155 Mbps,-,-,-,-,Add
1029196203,2.3,STM1,155 Mbps,-,-,-,-,Add
1029196204,2.4,STM1,155 Mbps,-,-,-,-,Add
1029196205,2.5,E1,2 Mbps,-,-,-,-,Add
1029196206,2.6,E1,2 Mbps,-,-,-,-,Add
1029196207,2.7,E1,2 Mbps,-,-,-,-,Add
1029196208,2.8,E1,2 Mbps,-,-,-,-,Add
1029196209,2.9,E1,2 Mbps,-,-,-,-,Add
1029196210,2.10,E1,2 Mbps,-,-,-,-,Add
1029196211,2.11,E1,2 Mbps,-,-,-,-,Add
1029196212,2.12,E1,2 Mbps,-,-,-,-,Add
1029196213,2.13,E1,2 Mbps,-,-,-,-,Add
1029196214,2.14,E1,2 Mbps,-,-,-,-,Add
1029196215,2.15,E1,2 Mbps,-,-,-,-,Add
1029196216,2.16,E1,2 Mbps,-,-,-,-,Add
1029196217,2.17,E1,2 Mbps,-,-,-,-,Add
1029196218,2.18,E1,2 Mbps,-,-,-,-,Add
1029196219,2.19,E1,2 Mbps,-,-,-,-,Add
1029196220,2.2,E1,2 Mbps,-,-,-,-,Add
1029196301,3.1,10 GE(O),10 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/4.1-CTD_HNV_KAMALGAJI_10.123.29.196/3.1,CPAN DL,Yes,2025-11-22,View  Remove  Edit  Verify  Add
1029196302,3.2,GE(O),1 GBps,-,-,-,-,Add
1029196303,3.3,GE(O),1 GBps,-,-,-,-,Add
1029196304,3.4,GE(O),1 GBps,-,-,-,-,Add
1029196305,3.5,GE(O),1 GBps,-,-,-,-,Add
1029196306,3.6,GE(O),1 GBps,CTD_HNV_RAMCHANDRAPUR_10.123.29.234/2.6-CTD_HNV_KAMALGAJI_10.123.29.196/3.6,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196307,3.7,1GE(E),1 GBps,CTD_HNV_KAMALGAJI_10.123.29.196/3.7-CTD_HNV_KAMALGAZI EX A1_10.123.29.230/1.3,CPAN DL,-,-,View  Remove  Edit  Verify  Add
1029196308,3.8,1GE(E),1 GBps,-,-,-,-,Add
1029196309,3.9,1GE(E),1 GBps,KAMALGAZI,BTS 4G,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196310,3.10,1GE(E),1 GBps,-,-,-,-,Add
1029196311,3.11,1GE(E),1 GBps,-,-,-,-,Add
1029196312,3.12,1GE(E),1 GBps,-,-,-,-,Add
1029196401,4.1,10 GE(O),10 GBps,CTD_HNV_KAMALGAJI_10.123.29.196/4.1-CTD_JDP_JADAVPUR_10.123.29.194/4.1,CPAN DL,Yes,2025-11-22,View  Remove  Edit  Verify  Add
1029196402,4.2,GE(O),1 GBps,CTD_JDP_NARENDRAPUR II_10.123.29.229/1.6-CTD_HNV_KAMALGAJI_10.123.29.196/4.2,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196403,4.3,GE(O),1 GBps,1000072296_SBI-RACPC_138.194/4.3_138.65/3.8_3867,LEASED CKT,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196403,4.3,GE(O),1 GBps,1000293303_ADSR-GARIA_138.194/4.3_KGT-25.65/5.5-4053,LEASED CKT,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196404,4.4,GE(O),1 GBps,CTD_HNV_SHERWOOD ROU_10.123.138.231/2.5-CTD_HNV_KAMALGAJI_10.123.29.196/4.4,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196405,4.5,GE(O),1 GBps,CTD_HNV_SUNNY SEASON ROU A1 NODE 2_10.123.29.224/1.5-CTD_HNV_KAMALGAJI_10.123.29.196/4.5,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196406,4.6,GE(O),1 GBps,CTD_HNV_BORAL ROU A1_10.123.29.225/1.6-CTD_HNV_KAMALGAJI_10.123.29.196/4.6,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196407,4.7,1GE(E),1 GBps,-,-,-,-,Add
1029196408,4.8,1GE(E),1 GBps,-,-,-,-,Add
1029196409,4.9,1GE(E),1 GBps,-,-,-,-,Add
1029196410,4.10,1GE(E),1 GBps,-,-,-,-,Add
1029196411,4.11,1GE(E),1 GBps,-,-,-,-,Add
1029196412,4.12,1GE(E),1 GBps,-,-,-,-,Add
1029196501,5.1,10 GE(O),10 GBps,CTD_HNV_SONARPUR_10.123.138.199/4.1-CTD_HNV_KAMALGAJI_10.123.29.196/5.1,CPAN DL,Yes,2025-11-22,View  Remove  Edit  Verify  Add
1029196502,5.2,GE(O),1 GBps,-,-,-,-,Add
1029196503,5.3,GE(O),1 GBps,CTD_HNV_HHC ROU_10.123.138.46/2.6-CTD_HNV_KAMALGAJI_10.123.29.196/5.3,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196504,5.4,GE(O),1 GBps,CTD_HNV_KAMALGAJI_10.123.29.196/5.4-CTD_HNV_NARENDRAPUR KRISHNA_10.123.138.213/2.5,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196505,5.5,GE(O),1 GBps,-,-,-,-,Add
1029196506,5.6,GE(O),1 GBps,-,-,-,-,Add
1029196507,5.7,1GE(E),1 GBps,KAMALGAJI_10.123.29.196/5.7==Kamalgazi BTS-A3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196508,5.8,1GE(E),1 GBps,KAMALGAJI_10.123.29.196/5.8==Kamalgazi BTS-A3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196509,5.9,1GE(E),1 GBps,-,-,-,-,Add
1029196510,5.10,1GE(E),1 GBps,-,-,-,-,Add
1029196511,5.11,1GE(E),1 GBps,-,-,-,-,Add
1029196512,5.12,1GE(E),1 GBps,-,-,-,-,Add
1029196601,6.1,10 GE(O),10 GBps,-,-,-,-,Add
1029196602,6.2,GE(O),1 GBps,MAHAMAYATALA-II,BTS 2G,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196602,6.2,GE(O),1 GBps,MAHAMAYATALA-II,BTS 3G,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196603,6.3,GE(O),1 GBps,-,-,-,-,Add
1029196604,6.4,GE(O),1 GBps,CTD_HNV_FIEM-ROU-A1_10.123.138.228/2.6-CTD_HNV_KAMALGAJI_10.123.29.196/6.4,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
1029196605,6.5,GE(O),1 GBps,-,-,-,-,Add
1029196606,6.6,GE(O),1 GBps,-,-,-,-,Add
1029196607,6.7,1GE(E),1 GBps,-,-,-,-,Add
1029196608,6.8,1GE(E),1 GBps,-,-,-,-,Add
1029196609,6.9,1GE(E),1 GBps,-,-,-,-,Add
1029196610,6.10,1GE(E),1 GBps,-,-,-,-,Add
1029196611,6.11,1GE(E),1 GBps,-,-,-,-,Add
1029196612,6.12,1GE(E),1 GBps,-,-,-,-,Add
