Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_KAMALGAJI_10.123.29.196/3.7-CTD_HNV_KAMALGAZI EX A1_10.123.29.230/1.3,CPAN DL
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),KAMALGAZI,BTS 2G
1.5,GE(O),KAMALGAZI,BTS 3G
1.5,GE(O),Ramchandrapur-II,BTS 3G
1.5,GE(O),Uddyan Palli(Rakshit More),BTS 4G
1.5,GE(O),Ramchandrapur II,BTS 4G
1.5,GE(O),Lashkarpur,BTS 4G
1.6,GE(O),KAMALGAZI PEYARABAGAN,BTS 2G
1.6,GE(O),KAMALGAZI PEYARABAGAN,BTS 3G
1.6,GE(O),Bager Khol Natunhat,BTS 4G
2.5,GE(O),-,Unbound
2.6,GE(O),HINDUSTAN MORE,BTS 3G
2.6,GE(O),HINDUSTAN MORE,BTS 4G
