Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
2004075101017,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-17,1000 Base-TX,KAMALGAJI_10.123.29.196/5.7==Kamalgazi BTS-A3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link,-,2025-11-20,View,Add
2004075101018,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-18,1000 Base-TX,KAMALGAJI_10.123.29.196/5.8==Kamalgazi BTS-A3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link,-,2025-11-20,View,Add
2004075101019,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-19,1000 Base-TX,-,Unbound,-,-,View,Add
2004075101020,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-20,1000 Base-TX,-,Unbound,-,-,View,Add
2004075101013,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-13,10G,Kamalgazi BTS-A3(CAT2) /1 /ETH-1-1-13 ==Sonarpur -A4(CAT2) /1 /ETH-1-1-14,MAAN TL,-,-,View,Add
2004075101014,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-14,10G,Garia -A4(CAT1) /1/ETH-1-1-13 ==Kamalgazi BTS-A3(CAT2) /1 /ETH-1-1-14,MAAN TL,-,-,View,Add
2004075101001,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-1,1G,BTS 4G-RAMCHANDRAPUR,BTS 4G,-,-,View,Add
2004075101001,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-1,1G,BTS 4G-GARIA MAIN ROAD,BTS 4G,-,-,View,Add
2004075101001,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-1,1G,BTS 4G-JAGATDAL-2,BTS 4G,-,-,View,Add
2004075101010,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-10,1G,-,Unbound,-,-,View,Add
2004075101011,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-11,1G,-,Unbound,-,-,View,Add
2004075101012,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-12,1G,-,Unbound,-,-,View,Add
2004075101002,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-SHALIMAR CHEMICAL,BTS 4G,-,-,View,Add
2004075101002,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-Narendrapur BSC,BTS 4G,-,-,View,Add
2004075101002,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-NARENDRAPUR,BTS 4G,-,-,View,Add
2004075101002,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-2,1G,BTS 4G-Narendrapur,BTS 4G,-,-,View,Add
2004075101003,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-NARENDRAPUR - I I,BTS 4G,-,-,View,Add
2004075101003,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-Mission Pally,BTS 4G,-,-,View,Add
2004075101003,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-SONARPUR TEGHARIA,BTS 4G,-,-,View,Add
2004075101003,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-3,1G,BTS 4G-SONARPUR II,BTS 4G,-,-,View,Add
2004075101004,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-4,1G,BTS 4G-FARTABAD,BTS 4G,-,-,View,Add
2004075101004,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-4,1G,BTS 4G-HINDUSTAN MORE,BTS 4G,-,-,View,Add
2004075101005,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-5,1G,BTS 4G-FARTABAD,BTS 4G,-,-,View,Add
2004075101005,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-5,1G,BTS 4G-HINDUSTAN MORE,BTS 4G,-,-,View,Add
2004075101006,Kamalgazi BTS-A3(CAT2) /1,ETH-1-1-6,1G,BTS 4G-Bager Khol Natunhat,BTS 4G,-,-,View,Add
