Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),PIYALI TOWN II,BTS 2G
1.3,FE/GE(E),PIYALI TOWN II,BTS 3G
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),PIYALI TOWN-2,BTS 4G
1.5,GE(O),CTD_HNV_BARUIPUR_10.123.138.196/4.3-CTD_HNV_PIYALI TOWN II BTS (A1)_10.123.138.247/1.5,CPAN DL
1.6,GE(O),Baruipur Phultala,BTS 2G
1.6,GE(O),Baruipur Phultala,BTS 3G
1.6,GE(O),Baruipur Phultala,BTS 4G
2.5,GE(O),CTD_HNV_PIYALI TOWN II BTS (A1)_10.123.138.247/2.5-CTD_HNV_SITAKUNDU_10.123.138.197/4.2,CPAN DL
2.6,GE(O),-,Unbound
