Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),RAMCHANDRAPUR,BTS 2G
1.3,FE/GE(E),RAMCHANDRAPUR,BTS 3G
1.4,FE/GE(E),RAMCHANDRAPUR,BTS 4G
2.3,FE/GE(E),GARIA MAIN ROAD,BTS 2G
2.3,FE/GE(E),GARIA MAIN ROAD,BTS 3G
2.3,FE/GE(E),GARIA MAIN ROAD,BTS 4G
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_RAMCHANDRAPUR_10.123.29.234/1.5-CTD_HNV_JAGADAL 2 BTS_10.123.138.252/2.6,CPAN DL
1.6,GE(O),Dakshin Bonhooghly,BTS 2G
1.6,GE(O),Dakshin Bonhooghly,BTS 3G
1.6,GE(O),DAKSHINESWAR,BTS 4G
1.6,GE(O),Dakshin Bonhooghly,BTS 4G
2.5,GE(O),-,Unbound
2.6,GE(O),CTD_HNV_RAMCHANDRAPUR_10.123.29.234/2.6-CTD_HNV_KAMALGAJI_10.123.29.196/3.6,CPAN DL
