Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_SHERWOOD RLU NODE 2_10.123.138.254/1.3-CTD_HNV_SHERWOOD ROU_10.123.138.231/1.3,CPAN DL
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_HR K MISSION ROU_10.123.138.230/2.5-CTD_HNV_SHERWOOD ROU_10.123.138.231/1.5,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),CTD_HNV_SHERWOOD ROU_10.123.138.231/2.5-CTD_HNV_KAMALGAJI_10.123.29.196/4.4,CPAN DL
2.6,GE(O),-,Unbound
