Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138197301,SITAKUNDU_10.123.138.197,3.1,10 GE(O),CTD_HNV_SITAKUNDU_10.123.138.197/3.1-CTD_HNV_BARUIPUR_10.123.138.196/4.1,CPAN DL,-,2025-11-22,View,Add
1138197401,SITAKUNDU_10.123.138.197,4.1,10 GE(O),CTD_HNV_AP NAGAR_10.123.138.198/3.1-CTD_HNV_SITAKUNDU_10.123.138.197/4.1,CPAN DL,-,2025-11-22,View,Add
1138197310,SITAKUNDU_10.123.138.197,3.10,1GE(E),-,Unbound,-,-,View,Add
1138197311,SITAKUNDU_10.123.138.197,3.11,1GE(E),-,Unbound,-,-,View,Add
1138197312,SITAKUNDU_10.123.138.197,3.12,1GE(E),-,Unbound,-,-,View,Add
1138197307,SITAKUNDU_10.123.138.197,3.7,1GE(E),-,Unbound,-,-,View,Add
1138197308,SITAKUNDU_10.123.138.197,3.8,1GE(E),-,Unbound,-,-,View,Add
1138197309,SITAKUNDU_10.123.138.197,3.9,1GE(E),-,Unbound,-,-,View,Add
1138197410,SITAKUNDU_10.123.138.197,4.10,1GE(E),-,Unbound,-,-,View,Add
1138197411,SITAKUNDU_10.123.138.197,4.11,1GE(E),-,Unbound,-,-,View,Add
1138197412,SITAKUNDU_10.123.138.197,4.12,1GE(E),-,Unbound,-,-,View,Add
1138197407,SITAKUNDU_10.123.138.197,4.7,1GE(E),-,Unbound,-,-,View,Add
1138197408,SITAKUNDU_10.123.138.197,4.8,1GE(E),-,Unbound,-,-,View,Add
1138197409,SITAKUNDU_10.123.138.197,4.9,1GE(E),-,Unbound,-,-,View,Add
1138197110,SITAKUNDU_10.123.138.197,1.10,E1,-,Unbound,-,-,View,Add
1138197111,SITAKUNDU_10.123.138.197,1.11,E1,-,Unbound,-,-,View,Add
1138197112,SITAKUNDU_10.123.138.197,1.12,E1,-,Unbound,-,-,View,Add
1138197113,SITAKUNDU_10.123.138.197,1.13,E1,-,Unbound,-,-,View,Add
1138197114,SITAKUNDU_10.123.138.197,1.14,E1,-,Unbound,-,-,View,Add
1138197115,SITAKUNDU_10.123.138.197,1.15,E1,-,Unbound,-,-,View,Add
1138197116,SITAKUNDU_10.123.138.197,1.16,E1,-,Unbound,-,-,View,Add
1138197117,SITAKUNDU_10.123.138.197,1.17,E1,-,Unbound,-,-,View,Add
1138197118,SITAKUNDU_10.123.138.197,1.18,E1,-,Unbound,-,-,View,Add
1138197119,SITAKUNDU_10.123.138.197,1.19,E1,-,Unbound,-,-,View,Add
1138197120,SITAKUNDU_10.123.138.197,1.2,E1,-,Unbound,-,-,View,Add
1138197105,SITAKUNDU_10.123.138.197,1.5,E1,-,Unbound,-,-,View,Add
1138197106,SITAKUNDU_10.123.138.197,1.6,E1,-,Unbound,-,-,View,Add
1138197107,SITAKUNDU_10.123.138.197,1.7,E1,-,Unbound,-,-,View,Add
1138197108,SITAKUNDU_10.123.138.197,1.8,E1,-,Unbound,-,-,View,Add
1138197109,SITAKUNDU_10.123.138.197,1.9,E1,-,Unbound,-,-,View,Add
1138197210,SITAKUNDU_10.123.138.197,2.10,E1,-,Unbound,-,-,View,Add
1138197211,SITAKUNDU_10.123.138.197,2.11,E1,-,Unbound,-,-,View,Add
1138197212,SITAKUNDU_10.123.138.197,2.12,E1,-,Unbound,-,-,View,Add
1138197213,SITAKUNDU_10.123.138.197,2.13,E1,-,Unbound,-,-,View,Add
1138197214,SITAKUNDU_10.123.138.197,2.14,E1,-,Unbound,-,-,View,Add
1138197215,SITAKUNDU_10.123.138.197,2.15,E1,-,Unbound,-,-,View,Add
1138197216,SITAKUNDU_10.123.138.197,2.16,E1,-,Unbound,-,-,View,Add
1138197217,SITAKUNDU_10.123.138.197,2.17,E1,-,Unbound,-,-,View,Add
1138197218,SITAKUNDU_10.123.138.197,2.18,E1,-,Unbound,-,-,View,Add
1138197219,SITAKUNDU_10.123.138.197,2.19,E1,-,Unbound,-,-,View,Add
1138197220,SITAKUNDU_10.123.138.197,2.2,E1,-,Unbound,-,-,View,Add
1138197205,SITAKUNDU_10.123.138.197,2.5,E1,-,Unbound,-,-,View,Add
1138197206,SITAKUNDU_10.123.138.197,2.6,E1,-,Unbound,-,-,View,Add
1138197207,SITAKUNDU_10.123.138.197,2.7,E1,-,Unbound,-,-,View,Add
1138197208,SITAKUNDU_10.123.138.197,2.8,E1,-,Unbound,-,-,View,Add
1138197209,SITAKUNDU_10.123.138.197,2.9,E1,-,Unbound,-,-,View,Add
1138197302,SITAKUNDU_10.123.138.197,3.2,GE(O),SITAKUNDU,BTS 2G,-,2025-11-21,View,Add
1138197302,SITAKUNDU_10.123.138.197,3.2,GE(O),SITAKUNDU,BTS 3G,-,2025-11-21,View,Add
1138197303,SITAKUNDU_10.123.138.197,3.3,GE(O),OLT_VISION 2000 PLUS_MADARHAT GP_10.211.17.31,OLT,-,2025-11-22,View,Add
1138197304,SITAKUNDU_10.123.138.197,3.4,GE(O),OLT_TANAY CABLE NETWORK| GARIA RURAL_10.211.17.16,OLT,-,2025-11-22,View,Add
1138197305,SITAKUNDU_10.123.138.197,3.5,GE(O),-,Unbound,-,-,View,Add
1138197306,SITAKUNDU_10.123.138.197,3.6,GE(O),Sitakundu,BTS 4G,-,2025-11-21,View,Add
1138197402,SITAKUNDU_10.123.138.197,4.2,GE(O),CTD_HNV_PIYALI TOWN II BTS (A1)_10.123.138.247/2.5-CTD_HNV_SITAKUNDU_10.123.138.197/4.2,CPAN DL,-,2025-11-21,View,Add
1138197403,SITAKUNDU_10.123.138.197,4.3,GE(O),-,Unbound,-,-,View,Add
1138197404,SITAKUNDU_10.123.138.197,4.4,GE(O),-,Unbound,-,-,View,Add
1138197405,SITAKUNDU_10.123.138.197,4.5,GE(O),-,Unbound,-,-,View,Add
1138197406,SITAKUNDU_10.123.138.197,4.6,GE(O),-,Unbound,-,-,View,Add
1138197701,SITAKUNDU_10.123.138.197,7.1,POWER PORT,-,Unbound,-,-,View,Add
1138197801,SITAKUNDU_10.123.138.197,8.1,POWER PORT,-,Unbound,-,-,View,Add
1138197101,SITAKUNDU_10.123.138.197,1.1,STM1,-,Unbound,-,-,View,Add
1138197102,SITAKUNDU_10.123.138.197,1.2,STM1,-,Unbound,-,-,View,Add
1138197103,SITAKUNDU_10.123.138.197,1.3,STM1,-,Unbound,-,-,View,Add
1138197104,SITAKUNDU_10.123.138.197,1.4,STM1,-,Unbound,-,-,View,Add
1138197201,SITAKUNDU_10.123.138.197,2.1,STM1,-,Unbound,-,-,View,Add
1138197202,SITAKUNDU_10.123.138.197,2.2,STM1,-,Unbound,-,-,View,Add
1138197203,SITAKUNDU_10.123.138.197,2.3,STM1,-,Unbound,-,-,View,Add
1138197204,SITAKUNDU_10.123.138.197,2.4,STM1,-,Unbound,-,-,View,Add
