Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_SONARPUR_10.123.138.199/3.7-CTD_HNV_SONARPUR EX_10.123.138.221/1.3,CPAN DL
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),Mission Pally,BTS 2G
1.5,GE(O),Mission Pally,BTS 3G
1.6,GE(O),-,Unbound
2.5,GE(O),CTD_HNV_SONARPUR EX_10.123.138.221/2.5-CTD_HNV_AP NAGAR_10.123.138.222/2.5,CPAN DL
2.6,GE(O),SONARPUR,BTS 2G
2.6,GE(O),SONARPUR,BTS 3G
2.6,GE(O),SONARPUR,BTS 4G
