Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138199301,SONARPUR_10.123.138.199,3.1,10 GE(O),-,Unbound,-,-,View,Add
1138199401,SONARPUR_10.123.138.199,4.1,10 GE(O),CTD_HNV_SONARPUR_10.123.138.199/4.1-CTD_HNV_KAMALGAJI_10.123.29.196/5.1,CPAN DL,-,2025-11-22,View,Add
1138199310,SONARPUR_10.123.138.199,3.10,1GE(E),-,Unbound,-,-,View,Add
1138199311,SONARPUR_10.123.138.199,3.11,1GE(E),-,Unbound,-,-,View,Add
1138199312,SONARPUR_10.123.138.199,3.12,1GE(E),-,Unbound,-,-,View,Add
1138199307,SONARPUR_10.123.138.199,3.7,1GE(E),CTD_HNV_SONARPUR_10.123.138.199/3.7-CTD_HNV_SONARPUR EX_10.123.138.221/1.3,CPAN DL,-,2025-11-21,View,Add
1138199308,SONARPUR_10.123.138.199,3.8,1GE(E),CTD_HNV_SONARPUR-ROU-A1_10.123.138.227/1.3-CTD_HNV_SONARPUR_10.123.138.199/3.8,CPAN DL,-,2025-11-21,View,Add
1138199309,SONARPUR_10.123.138.199,3.9,1GE(E),-,Unbound,-,-,View,Add
1138199410,SONARPUR_10.123.138.199,4.10,1GE(E),-,Unbound,-,-,View,Add
1138199411,SONARPUR_10.123.138.199,4.11,1GE(E),-,Unbound,-,-,View,Add
1138199412,SONARPUR_10.123.138.199,4.12,1GE(E),-,Unbound,-,-,View,Add
1138199407,SONARPUR_10.123.138.199,4.7,1GE(E),-,Unbound,-,-,View,Add
1138199408,SONARPUR_10.123.138.199,4.8,1GE(E),1000537506_CSR_SONARPUR_138.199/3.5_141.173/1.4_412,LEASED CKT,1000537506,2025-11-21,View,Add
1138199409,SONARPUR_10.123.138.199,4.9,1GE(E),-,Unbound,-,-,View,Add
1138199110,SONARPUR_10.123.138.199,1.10,E1,-,Unbound,-,-,View,Add
1138199111,SONARPUR_10.123.138.199,1.11,E1,-,Unbound,-,-,View,Add
1138199112,SONARPUR_10.123.138.199,1.12,E1,-,Unbound,-,-,View,Add
1138199113,SONARPUR_10.123.138.199,1.13,E1,-,Unbound,-,-,View,Add
1138199114,SONARPUR_10.123.138.199,1.14,E1,-,Unbound,-,-,View,Add
1138199115,SONARPUR_10.123.138.199,1.15,E1,-,Unbound,-,-,View,Add
1138199116,SONARPUR_10.123.138.199,1.16,E1,-,Unbound,-,-,View,Add
1138199117,SONARPUR_10.123.138.199,1.17,E1,-,Unbound,-,-,View,Add
1138199118,SONARPUR_10.123.138.199,1.18,E1,-,Unbound,-,-,View,Add
1138199119,SONARPUR_10.123.138.199,1.19,E1,-,Unbound,-,-,View,Add
1138199120,SONARPUR_10.123.138.199,1.2,E1,-,Unbound,-,-,View,Add
1138199105,SONARPUR_10.123.138.199,1.5,E1,-,Unbound,-,-,View,Add
1138199106,SONARPUR_10.123.138.199,1.6,E1,-,Unbound,-,-,View,Add
1138199107,SONARPUR_10.123.138.199,1.7,E1,-,Unbound,-,-,View,Add
1138199108,SONARPUR_10.123.138.199,1.8,E1,-,Unbound,-,-,View,Add
1138199109,SONARPUR_10.123.138.199,1.9,E1,-,Unbound,-,-,View,Add
1138199210,SONARPUR_10.123.138.199,2.10,E1,-,Unbound,-,-,View,Add
1138199211,SONARPUR_10.123.138.199,2.11,E1,-,Unbound,-,-,View,Add
1138199212,SONARPUR_10.123.138.199,2.12,E1,-,Unbound,-,-,View,Add
1138199213,SONARPUR_10.123.138.199,2.13,E1,-,Unbound,-,-,View,Add
1138199214,SONARPUR_10.123.138.199,2.14,E1,-,Unbound,-,-,View,Add
1138199215,SONARPUR_10.123.138.199,2.15,E1,-,Unbound,-,-,View,Add
