Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),1000480822-SPICE-BOARD_29.245/1.3_KGT-138.65/3.8_3870,LEASED CKT
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34/1.5-CTD_HNV_DRDO BARUIPUR_10.123.136.35/2.6,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),CTD_HNV_SPICES BOARD CHAKARBER BARUIPUR_10.123.136.34/2.5-CTD_BHL_BARUIPUR-CENTRAL-CORRECTIONAL-HOME_10.123.136.22/1.5,CPAN DL
2.6,GE(O),-,Unbound
