Port Type,Port Capacity,Service,Service Type
1G,1 GBps,A.P NAGAR,BTS 4G
1G,1 GBps,Sonarpur Bazar,BTS 4G
1G,1 GBps,SREEKHANDA KALVART,BTS 4G
1G,1 GBps,A.P NAGAR,BTS 4G
1G,1 GBps,Sonarpur Bazar,BTS 4G
1G,1 GBps,SREEKHANDA KALVART,BTS 4G
1G,1 GBps,-,-
1G,1 GBps,BTS 4G-RAJPUR SARKAR PARA,BTS 4G
1G,1 GBps,BTS 4G-BARENDRA PARA,BTS 4G
1G,1 GBps,BTS 4G-NOTUN PALLY,BTS 4G
1G,1 GBps,BTS 4G-SUBHAS GRAM BANK PLOT,BTS 4G
1G,1 GBps,SONARPUR BADAMTALA,BTS 4G
1G,1 GBps,GANGAJORA,BTS 4G
1G,1 GBps,SONARPUR KURIGACHI,BTS 4G
1G,1 GBps,SONARPUR BADAMTALA,BTS 4G
1G,1 GBps,SONARPUR KURIGACHI,BTS 4G
1G,1 GBps,GANGAJORA,BTS 4G
1G,1 GBps,SONARPUR GHASIARA,BTS 4G
1G,1 GBps,SONARPUR NATUNPALLY,BTS 4G
1G,1 GBps,SONARPUR GHASIARA,BTS 4G
1G,1 GBps,SONARPUR NATUNPALLY,BTS 4G
1G,1 GBps,-,-
1G,1 GBps,-,-
1G,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
1000 Base-TX,1 GBps,-,-
