Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138198301,AP NAGAR_10.123.138.198,3.1,10 GE(O),CTD_HNV_AP NAGAR_10.123.138.198/3.1-CTD_HNV_SITAKUNDU_10.123.138.197/4.1,CPAN DL,-,2025-11-22,View,Add
1138198401,AP NAGAR_10.123.138.198,4.1,10 GE(O),CTD_HNV_AP NAGAR_10.123.138.198/4.1-CTD_HNV_HARINAVI_10.123.138.193_GNE/6.1,CPAN DL,-,2025-11-22,View,Add
1138198310,AP NAGAR_10.123.138.198,3.10,1GE(E),-,Unbound,-,-,View,Add
1138198311,AP NAGAR_10.123.138.198,3.11,1GE(E),-,Unbound,-,-,View,Add
1138198312,AP NAGAR_10.123.138.198,3.12,1GE(E),-,Unbound,-,-,View,Add
1138198307,AP NAGAR_10.123.138.198,3.7,1GE(E),CTD_HNV_AP NAGAR_10.123.138.198/3.7-CTD_HNV_AP NAGAR_10.123.138.222/1.3,CPAN DL,-,2025-11-21,View,Add
1138198308,AP NAGAR_10.123.138.198,3.8,1GE(E),-,Unbound,-,-,View,Add
1138198309,AP NAGAR_10.123.138.198,3.9,1GE(E),-,Unbound,-,-,View,Add
1138198410,AP NAGAR_10.123.138.198,4.10,1GE(E),-,Unbound,-,-,View,Add
1138198411,AP NAGAR_10.123.138.198,4.11,1GE(E),-,Unbound,-,-,View,Add
1138198412,AP NAGAR_10.123.138.198,4.12,1GE(E),-,Unbound,-,-,View,Add
1138198407,AP NAGAR_10.123.138.198,4.7,1GE(E),-,Unbound,-,-,View,Add
1138198408,AP NAGAR_10.123.138.198,4.8,1GE(E),-,Unbound,-,-,View,Add
1138198409,AP NAGAR_10.123.138.198,4.9,1GE(E),-,Unbound,-,-,View,Add
1138198110,AP NAGAR_10.123.138.198,1.10,E1,-,Unbound,-,-,View,Add
1138198111,AP NAGAR_10.123.138.198,1.11,E1,-,Unbound,-,-,View,Add
1138198112,AP NAGAR_10.123.138.198,1.12,E1,-,Unbound,-,-,View,Add
1138198113,AP NAGAR_10.123.138.198,1.13,E1,-,Unbound,-,-,View,Add
1138198114,AP NAGAR_10.123.138.198,1.14,E1,-,Unbound,-,-,View,Add
