Chl ID,System,Channel,Port Type,Service,Type,LCID,Update Date,View,Action
1138203301,BRAHMAPUR_10.123.138.203,3.1,10 GE(O),CTD_HNV_HARINAVI_10.123.138.193_GNE/5.1-CTD_HNV_ BRAHMAPUR_10.123.138.203/3.1,CPAN DL,-,2025-11-22,View,Add
1138203401,BRAHMAPUR_10.123.138.203,4.1,10 GE(O),CTD_RSA_RUSSA B2-01_10.123.138.2/5.1-CTD_HNV_ BRAHMAPUR_10.123.138.203/4.1,CPAN DL,-,2025-11-22,View,Add
1138203310,BRAHMAPUR_10.123.138.203,3.10,1GE(E),-,Unbound,-,-,View,Add
1138203311,BRAHMAPUR_10.123.138.203,3.11,1GE(E),-,Unbound,-,-,View,Add
1138203312,BRAHMAPUR_10.123.138.203,3.12,1GE(E),-,Unbound,-,-,View,Add
1138203307,BRAHMAPUR_10.123.138.203,3.7,1GE(E),BONHOOGHLY II,BTS 4G,-,2025-11-21,View,Add
1138203308,BRAHMAPUR_10.123.138.203,3.8,1GE(E),-,Unbound,-,-,View,Add
1138203309,BRAHMAPUR_10.123.138.203,3.9,1GE(E),-,Unbound,-,-,View,Add
1138203410,BRAHMAPUR_10.123.138.203,4.10,1GE(E),-,Unbound,-,-,View,Add
1138203411,BRAHMAPUR_10.123.138.203,4.11,1GE(E),-,Unbound,-,-,View,Add
1138203412,BRAHMAPUR_10.123.138.203,4.12,1GE(E),-,Unbound,-,-,View,Add
1138203407,BRAHMAPUR_10.123.138.203,4.7,1GE(E),-,Unbound,-,-,View,Add
1138203408,BRAHMAPUR_10.123.138.203,4.8,1GE(E),-,Unbound,-,-,View,Add
1138203409,BRAHMAPUR_10.123.138.203,4.9,1GE(E),-,Unbound,-,-,View,Add
1138203110,BRAHMAPUR_10.123.138.203,1.10,E1,-,Unbound,-,-,View,Add
1138203111,BRAHMAPUR_10.123.138.203,1.11,E1,-,Unbound,-,-,View,Add
1138203112,BRAHMAPUR_10.123.138.203,1.12,E1,-,Unbound,-,-,View,Add
1138203113,BRAHMAPUR_10.123.138.203,1.13,E1,-,Unbound,-,-,View,Add
