Chl Code,Channel,Port Type,Port Capacity,Service,Service Type,Verification,Updated On,Actions
1138195101,1.1,STM1,155 Mbps,-,-,-,-,Add
1138195102,1.2,STM1,155 Mbps,-,-,-,-,Add
1138195103,1.3,STM1,155 Mbps,-,-,-,-,Add
1138195104,1.4,STM1,155 Mbps,-,-,-,-,Add
1138195105,1.5,E1,2 Mbps,-,-,-,-,Add
1138195106,1.6,E1,2 Mbps,-,-,-,-,Add
1138195107,1.7,E1,2 Mbps,-,-,-,-,Add
1138195108,1.8,E1,2 Mbps,-,-,-,-,Add
1138195109,1.9,E1,2 Mbps,-,-,-,-,Add
1138195110,1.10,E1,2 Mbps,-,-,-,-,Add
1138195111,1.11,E1,2 Mbps,-,-,-,-,Add
1138195112,1.12,E1,2 Mbps,-,-,-,-,Add
1138195113,1.13,E1,2 Mbps,-,-,-,-,Add
1138195114,1.14,E1,2 Mbps,-,-,-,-,Add
1138195115,1.15,E1,2 Mbps,-,-,-,-,Add
1138195116,1.16,E1,2 Mbps,-,-,-,-,Add
1138195117,1.17,E1,2 Mbps,-,-,-,-,Add
1138195118,1.18,E1,2 Mbps,-,-,-,-,Add
1138195119,1.19,E1,2 Mbps,-,-,-,-,Add
1138195120,1.2,E1,2 Mbps,-,-,-,-,Add
1138195201,2.1,STM1,155 Mbps,-,-,-,-,Add
1138195202,2.2,STM1,155 Mbps,-,-,-,-,Add
1138195203,2.3,STM1,155 Mbps,-,-,-,-,Add
1138195204,2.4,STM1,155 Mbps,-,-,-,-,Add
1138195205,2.5,E1,2 Mbps,-,-,-,-,Add
1138195206,2.6,E1,2 Mbps,-,-,-,-,Add
1138195207,2.7,E1,2 Mbps,-,-,-,-,Add
1138195208,2.8,E1,2 Mbps,-,-,-,-,Add
1138195209,2.9,E1,2 Mbps,-,-,-,-,Add
1138195210,2.10,E1,2 Mbps,-,-,-,-,Add
1138195211,2.11,E1,2 Mbps,-,-,-,-,Add
1138195212,2.12,E1,2 Mbps,-,-,-,-,Add
1138195213,2.13,E1,2 Mbps,-,-,-,-,Add
1138195214,2.14,E1,2 Mbps,-,-,-,-,Add
1138195215,2.15,E1,2 Mbps,-,-,-,-,Add
1138195216,2.16,E1,2 Mbps,-,-,-,-,Add
1138195217,2.17,E1,2 Mbps,-,-,-,-,Add
1138195218,2.18,E1,2 Mbps,-,-,-,-,Add
1138195219,2.19,E1,2 Mbps,-,-,-,-,Add
1138195220,2.2,E1,2 Mbps,-,-,-,-,Add
1138195301,3.1,10 GE(O),10 GBps,CTD_HNV_GOBINDAPUR_10.123.138.195/3.1-CTD_HNV_HARINAVI_10.123.138.193_GNE/3.1,CPAN DL,Yes,2025-11-22,View  Remove  Edit  Verify  Add
1138195302,3.2,GE(O),1 GBps,CTD_HNV_GOBINDAPUR_10.123.138.195/3.2-CTD_HNV_JOGIBARTALA BTS_10.123.138.208/2.5,CPAN DL,Yes,2025-11-21,View  Remove  Edit  Verify  Add
