Chl Code,Channel,Port Type,Port Capacity,Service,Service Type,Verification,Updated On,Actions
1138193101,1.1,STM1,155 Mbps,-,-,-,-,Add
1138193102,1.2,STM1,155 Mbps,-,-,-,-,Add
1138193103,1.3,STM1,155 Mbps,-,-,-,-,Add
1138193104,1.4,STM1,155 Mbps,-,-,-,-,Add
1138193105,1.5,E1,2 Mbps,-,-,-,-,Add
1138193106,1.6,E1,2 Mbps,-,-,-,-,Add
1138193107,1.7,E1,2 Mbps,-,-,-,-,Add
1138193108,1.8,E1,2 Mbps,-,-,-,-,Add
1138193109,1.9,E1,2 Mbps,-,-,-,-,Add
1138193110,1.10,E1,2 Mbps,-,-,-,-,Add
1138193111,1.11,E1,2 Mbps,-,-,-,-,Add
1138193112,1.12,E1,2 Mbps,-,-,-,-,Add
1138193113,1.13,E1,2 Mbps,-,-,-,-,Add
1138193114,1.14,E1,2 Mbps,-,-,-,-,Add
1138193115,1.15,E1,2 Mbps,-,-,-,-,Add
1138193116,1.16,E1,2 Mbps,-,-,-,-,Add
1138193117,1.17,E1,2 Mbps,-,-,-,-,Add
1138193118,1.18,E1,2 Mbps,-,-,-,-,Add
1138193119,1.19,E1,2 Mbps,-,-,-,-,Add
1138193120,1.2,E1,2 Mbps,-,-,-,-,Add
1138193201,2.1,STM1,155 Mbps,-,-,-,-,Add
1138193202,2.2,STM1,155 Mbps,-,-,-,-,Add
1138193203,2.3,STM1,155 Mbps,-,-,-,-,Add
1138193204,2.4,STM1,155 Mbps,-,-,-,-,Add
1138193205,2.5,E1,2 Mbps,-,-,-,-,Add
1138193206,2.6,E1,2 Mbps,-,-,-,-,Add
1138193207,2.7,E1,2 Mbps,-,-,-,-,Add
1138193208,2.8,E1,2 Mbps,-,-,-,-,Add
1138193209,2.9,E1,2 Mbps,-,-,-,-,Add
1138193210,2.10,E1,2 Mbps,-,-,-,-,Add
1138193211,2.11,E1,2 Mbps,-,-,-,-,Add
1138193212,2.12,E1,2 Mbps,-,-,-,-,Add
1138193213,2.13,E1,2 Mbps,-,-,-,-,Add
1138193214,2.14,E1,2 Mbps,-,-,-,-,Add
1138193215,2.15,E1,2 Mbps,-,-,-,-,Add
1138193216,2.16,E1,2 Mbps,-,-,-,-,Add
1138193217,2.17,E1,2 Mbps,-,-,-,-,Add
1138193218,2.18,E1,2 Mbps,-,-,-,-,Add
1138193219,2.19,E1,2 Mbps,-,-,-,-,Add
1138193220,2.2,E1,2 Mbps,-,-,-,-,Add
1138193301,3.1,10 GE(O),10 GBps,CTD_HNV_GOBINDAPUR_10.123.138.195/3.1-CTD_HNV_HARINAVI_10.123.138.193_GNE/3.1,CPAN DL,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193302,3.2,GE(O),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/3.2-CTD_HNV_BARUI PUR RAIL CROSSING BTS_10.123.138.216/1.5,CPAN DL,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000209540_WBSEDCL-PADMAPUKUR_138.193/3.3_138.65/3.8_3864,LEASED CKT,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000354024_IG-BORDER-4MBPS_CIR-25.138/3.3_HARINAVI-138.193/3.3_VLAN-202,LEASED CKT,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000540738_BARUIPUR_POLYTECH_138.129/3.3_138.129/3.3_VLAN-3723,LEASED CKT,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000293191_westbengalindustry_development_vlan-3832,LEASED CKT,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000122720_SBI_RAJPUR_VLAN04041,LEASED CKT,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000293414_SONARPUR_BLRO_138.193/3.3_138.65/3.8_3824,LEASED CKT,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000123043_SBI_SUBHASGRAM_138.193/3.3_25.65/5.5_4031,LEASED CKT,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193303,3.3,GE(O),1 GBps,1000293306_SONARPU_ADSR_138.193_138.65_4005,LEASED CKT,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193304,3.4,GE(O),1 GBps,-,-,-,-,Add
1138193305,3.5,GE(O),1 GBps,-,-,-,-,Add
1138193306,3.6,GE(O),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/3.6-CTD_HNV_RAJPUR SARKARPARA_10.123.138.215/2.5,CPAN DL,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193307,3.7,1GE(E),1 GBps,CTD_HNV_HARINAVI EXCH A1_10.123.138.225/1.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/3.7,CPAN DL,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193308,3.8,1GE(E),1 GBps,CTD_HNV_HNV Tx A1_10.123.138.233/1.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/3.8,CPAN DL,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193309,3.9,1GE(E),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/3.9-CTD_HNV_HARINAVI EXCH_10.123.138.229/1.3,CPAN DL,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193310,3.10,1GE(E),1 GBps,-,-,-,-,Add
1138193311,3.11,1GE(E),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/3.11-CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/1.3,CPAN DL,Yes,2025-12-08,View  Remove  Edit  Verify  Add
1138193312,3.12,1GE(E),1 GBps,-,-,-,-,Add
1138193401,4.1,10 GE(O),10 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/4.1-CTD_HNV_KAMALGAJI_10.123.29.196/3.1,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193402,4.2,GE(O),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/4.2-CTD_HNV_KODALIA BTS_10.123.138.204/1.5,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193403,4.3,GE(O),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/4.3-CTD_HNV_SHALIMAR CHEMICAL_10.123.138.214/1.5,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193404,4.4,GE(O),1 GBps,CTD_HNV_DAKSHIN CHOWHATI_10.123.138.209/1.5-CTD_HNV_HARINAVI_10.123.138.193_GNE/4.4,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193405,4.5,GE(O),1 GBps,-,-,-,-,Add
1138193406,4.6,GE(O),1 GBps,-,-,-,-,Add
1138193407,4.7,1GE(E),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/4.7-CTD_HNV_HARINAVI EXCH NODE-6_10.123.138.244/1.3,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193408,4.8,1GE(E),1 GBps,CTD_HNV_HARINAVI EXCH NODE-6_10.123.138.244/2.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/4.8,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193409,4.9,1GE(E),1 GBps,1000504431_HARINAVI_EXCH_138.193/4.9_25.189/2.3_439,LEASED CKT,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193410,4.10,1GE(E),1 GBps,CTD_HNV_HARINAVI EXCH NODE 7_10.123.138.253/2.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/4.10,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193411,4.11,1GE(E),1 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/4.11-CTD_HNV_HARINAVI EXCH NODE-2_10.123.138.245/2.3,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193412,4.12,1GE(E),1 GBps,-,-,-,-,Add
1138193501,5.1,10 GE(O),10 GBps,CTD_HNV_HARINAVI_10.123.138.193_GNE/5.1-CTD_HNV_ BRAHMAPUR_10.123.138.203/3.1,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193502,5.2,GE(O),1 GBps,CTD_HNV_HNV TX A1_10.123.138.217/1.5-CTD_HNV_HARINAVI_10.123.138.193_GNE/5.2,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193503,5.3,GE(O),1 GBps,-,-,-,-,Add
1138193504,5.4,GE(O),1 GBps,CTD_HNV_SONARPUR_10.123.138.199/3.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/5.4,CPAN DL,Yes,2025-12-09,View  Remove  Edit  Verify  Add
1138193505,5.5,GE(O),1 GBps,-,-,-,-,Add
1138193506,5.6,GE(O),1 GBps,-,-,-,-,Add
1138193507,5.7,1GE(E),1 GBps,HARINAVI_10.123.138.193_GNE/5.7==Harinavi -B3(CAT2) /1/ETH-1-1-17,CPAN MAAN Link,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193508,5.8,1GE(E),1 GBps,HARINAVI_10.123.138.193_GNE/5.8==Harinavi -B3(CAT2) /1/ETH-1-1-18,CPAN MAAN Link,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193509,5.9,1GE(E),1 GBps,HARINAVI_10.123.138.193_GNE/5.9==Harinavi -B3(CAT2) /1/ETH-1-1-19,CPAN MAAN Link,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193510,5.10,1GE(E),1 GBps,HARINAVI_10.123.138.193_GNE/5.10==Harinavi -B3(CAT2) /1/ETH-1-1-20,CPAN MAAN Link,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193511,5.11,1GE(E),1 GBps,-,-,-,-,Add
1138193512,5.12,1GE(E),1 GBps,-,-,-,-,Add
1138193601,6.1,10 GE(O),10 GBps,CTD_HNV_AP NAGAR_10.123.138.198/4.1-CTD_HNV_HARINAVI_10.123.138.193_GNE/6.1,CPAN DL,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193602,6.2,GE(O),1 GBps,HARINAVI_10.123.138.193_GNE/6.2==Harinavi -B3(CAT2) /1/ETH-1-1-1,CPAN MAAN Link,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193603,6.3,GE(O),1 GBps,HARINAVI_10.123.138.193_GNE/6.3==Harinavi -B3(CAT2) /1/ETH-1-1-3,CPAN MAAN Link,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193604,6.4,GE(O),1 GBps,CTD_HNV_GOBINDAPUR_10.123.138.195/4.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/6.4,CPAN DL,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193605,6.5,GE(O),1 GBps,CTD_JDP_AWANTIPUR_10.123.138.200/3.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/6.5,CPAN DL,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193606,6.6,GE(O),1 GBps,-,-,-,-,Add
1138193607,6.7,1GE(E),1 GBps,CTD_HNV_HARINAVI EXCH A1_10.123.138.225/2.3-CTD_HNV_HARINAVI_10.123.138.193_GNE/6.7,CPAN DL,No,2025-12-08,View  Remove  Edit  Verify  Add
1138193608,6.8,1GE(E),1 GBps,-,-,-,-,Add
1138193609,6.9,1GE(E),1 GBps,-,-,-,-,Add
1138193610,6.10,1GE(E),1 GBps,-,-,-,-,Add
1138193611,6.11,1GE(E),1 GBps,-,-,-,-,Add
1138193612,6.12,1GE(E),1 GBps,-,-,-,-,Add
1138193701,7.1,POWER PORT,Unknown,-,-,-,-,Add
1138193801,8.1,POWER PORT,Unknown,-,-,-,-,Add
